source_uuid,source_label,target_uuid,target_label,relation,weight
d5acaa56-4a2b-55d2-a3a8-f59539284cf2,心理问题,171d1069-cff7-53f6-81b1-c2d60976d858,应对技巧,推荐干预,0.9
d5acaa56-4a2b-55d2-a3a8-f59539284cf2,心理问题,305f6eb2-0d6c-5f7f-9702-d569b69abdde,应对技巧,推荐干预,0.9
d5acaa56-4a2b-55d2-a3a8-f59539284cf2,心理问题,3a2dfd31-1895-5f04-b494-44acf234a6de,应对技巧,推荐干预,0.9
d5acaa56-4a2b-55d2-a3a8-f59539284cf2,心理问题,ae18fd25-e5d9-5970-b2d4-e375024427fe,文章,科普阅读,0.95
d5acaa56-4a2b-55d2-a3a8-f59539284cf2,心理问题,6b085128-1983-58e0-8f6a-2cf4f575a194,文章,科普阅读,0.95
d5acaa56-4a2b-55d2-a3a8-f59539284cf2,心理问题,b2a375a5-b9fc-5797-ac39-f924cf0cbd5b,校园政策,依据政策,0.9
a1b2c3d4-5e6f-4a7b-8c9d-0e1f2a3b4c5d,校园事件,d5acaa56-4a2b-55d2-a3a8-f59539284cf2,心理问题,诱导场景,0.8
eb236c21-7fd4-5a3c-bca1-5a58a0d35c5b,心理问题,5b80c035-1299-55b8-be6f-29f1f8d8d114,症状,临床症状,0.8
eb236c21-7fd4-5a3c-bca1-5a58a0d35c5b,心理问题,7d4896ac-249b-59f5-8263-bde592e0810b,症状,临床症状,0.8
eb236c21-7fd4-5a3c-bca1-5a58a0d35c5b,心理问题,dd2f5a88-de05-534f-b8da-f0b272eb3568,症状,临床症状,0.8
eb236c21-7fd4-5a3c-bca1-5a58a0d35c5b,心理问题,3996225e-acfa-5c2b-b8f2-169eebad202a,症状,临床症状,0.8
eb236c21-7fd4-5a3c-bca1-5a58a0d35c5b,心理问题,93cf1362-b71f-5bf7-b098-e68de72529cb,症状,临床症状,0.8
eb236c21-7fd4-5a3c-bca1-5a58a0d35c5b,心理问题,b09667d5-ac5d-529e-b412-75fccf6d6e18,症状,临床症状,0.8
eb236c21-7fd4-5a3c-bca1-5a58a0d35c5b,心理问题,be4db655-6db4-5199-9dc5-feecd897ae56,症状,临床症状,0.8
eb236c21-7fd4-5a3c-bca1-5a58a0d35c5b,心理问题,0f72dc4e-9fb6-5972-bdfe-9de952e13bd0,症状,临床症状,0.8
eb236c21-7fd4-5a3c-bca1-5a58a0d35c5b,心理问题,48ab2723-72b4-5215-b2b5-09f3dd4ba2c5,症状,临床症状,0.8
eb236c21-7fd4-5a3c-bca1-5a58a0d35c5b,心理问题,b1616982-577c-5f52-9398-f356c61c0835,症状,临床症状,0.8
eb236c21-7fd4-5a3c-bca1-5a58a0d35c5b,心理问题,cf5579ac-c1ff-54a7-b86c-9e2880d90fc6,应对技巧,推荐干预,0.9
eb236c21-7fd4-5a3c-bca1-5a58a0d35c5b,心理问题,2d492279-a235-5e3b-a707-161adde19eaf,应对技巧,推荐干预,0.9
eb236c21-7fd4-5a3c-bca1-5a58a0d35c5b,心理问题,b7b2fb61-0049-591c-8e7e-859bba7fa52f,应对技巧,推荐干预,0.9
eb236c21-7fd4-5a3c-bca1-5a58a0d35c5b,心理问题,65851f86-492f-5ee8-b2a8-bc9d329cebcf,应对技巧,推荐干预,0.9
eb236c21-7fd4-5a3c-bca1-5a58a0d35c5b,心理问题,1130b809-a103-5112-85fc-0aa9a2cefb9c,应对技巧,推荐干预,0.9
eb236c21-7fd4-5a3c-bca1-5a58a0d35c5b,心理问题,b036549a-205e-5f44-973c-81fed03a3457,应对技巧,推荐干预,0.9
eb236c21-7fd4-5a3c-bca1-5a58a0d35c5b,心理问题,d29212ec-78ed-548d-a121-3ec6a37da657,文章,科普阅读,0.95
eb236c21-7fd4-5a3c-bca1-5a58a0d35c5b,心理问题,0d7aa52f-128d-40d3-9ffc-01018a231190,文章,科普阅读,0.95
eb236c21-7fd4-5a3c-bca1-5a58a0d35c5b,心理问题,d001ef3f-be47-5588-b960-ccef89e1e4e6,校园政策,依据政策,0.9
a1b2c3d4-5e6f-4a7b-8c9d-0e1f2a3b4c5d,校园事件,eb236c21-7fd4-5a3c-bca1-5a58a0d35c5b,心理问题,诱导场景,0.8
00a6a940-d146-58f1-8e39-b6c01c2ad478,心理问题,03104b6a-189f-5430-b1d8-2a9b817c66ed,症状,临床症状,0.8
00a6a940-d146-58f1-8e39-b6c01c2ad478,心理问题,0d4deae3-e0d7-5ba3-99b8-cd263d5e241d,症状,临床症状,0.8
00a6a940-d146-58f1-8e39-b6c01c2ad478,心理问题,35d59df0-f1a6-5740-85c0-98291898102f,症状,临床症状,0.8
00a6a940-d146-58f1-8e39-b6c01c2ad478,心理问题,15212d44-44bd-5986-9f0d-aea9ffbc0daa,症状,临床症状,0.8
00a6a940-d146-58f1-8e39-b6c01c2ad478,心理问题,9c8a4c42-49d5-55c4-821c-628fbcafa393,症状,临床症状,0.8
00a6a940-d146-58f1-8e39-b6c01c2ad478,心理问题,6876bc9f-11af-5c82-9663-dc4be65b6706,症状,临床症状,0.8
00a6a940-d146-58f1-8e39-b6c01c2ad478,心理问题,8e42ea5f-c256-5681-b66f-cad915419120,症状,临床症状,0.8
00a6a940-d146-58f1-8e39-b6c01c2ad478,心理问题,3ecd66a8-d0bf-5849-8ab3-d6425e6293a4,症状,临床症状,0.8
00a6a940-d146-58f1-8e39-b6c01c2ad478,心理问题,765d9f4f-e1f6-5daa-b779-0e558848c9a3,症状,临床症状,0.8
00a6a940-d146-58f1-8e39-b6c01c2ad478,心理问题,c9896cf4-9f3b-57df-8108-299448d26209,症状,临床症状,0.8
00a6a940-d146-58f1-8e39-b6c01c2ad478,心理问题,55007c0b-b86e-5cb5-8e5d-38dda78d2411,应对技巧,推荐干预,0.9
00a6a940-d146-58f1-8e39-b6c01c2ad478,心理问题,dfb7cc18-899d-5bef-8854-89078b09d47d,应对技巧,推荐干预,0.9
00a6a940-d146-58f1-8e39-b6c01c2ad478,心理问题,16692328-b93c-5974-8fc8-67a0e5d72dab,应对技巧,推荐干预,0.9
00a6a940-d146-58f1-8e39-b6c01c2ad478,心理问题,d07e4f5d-09ee-56f8-9805-43ea33d22ef1,应对技巧,推荐干预,0.9
00a6a940-d146-58f1-8e39-b6c01c2ad478,心理问题,3c02a01a-2f82-5f73-b563-30138972c1d4,应对技巧,推荐干预,0.9
00a6a940-d146-58f1-8e39-b6c01c2ad478,心理问题,cf5579ac-c1ff-54a7-b86c-9e2880d90fc6,应对技巧,推荐干预,0.9
00a6a940-d146-58f1-8e39-b6c01c2ad478,心理问题,08fa0d1c-4626-50c3-9d19-cfc966a6fed7,文章,科普阅读,0.95
00a6a940-d146-58f1-8e39-b6c01c2ad478,心理问题,26203a3b-69c7-5fc9-b0c7-8d7ee9458690,文章,科普阅读,0.95
00a6a940-d146-58f1-8e39-b6c01c2ad478,心理问题,b2a375a5-b9fc-5797-ac39-f924cf0cbd5b,校园政策,依据政策,0.9
a1b2c3d4-5e6f-4a7b-8c9d-0e1f2a3b4c5d,校园事件,00a6a940-d146-58f1-8e39-b6c01c2ad478,心理问题,诱导场景,0.8
07ed67cc-b442-59bb-a798-23bbf13aa52b,心理问题,5dd08d1f-27b5-5645-ae9e-314a6dda79e8,症状,临床症状,0.8
07ed67cc-b442-59bb-a798-23bbf13aa52b,心理问题,966dd4b0-a1cb-55a1-83f4-b123e5f11f94,症状,临床症状,0.8
07ed67cc-b442-59bb-a798-23bbf13aa52b,心理问题,e8d667ba-dba2-504b-8fc4-fd99eb46b229,症状,临床症状,0.8
07ed67cc-b442-59bb-a798-23bbf13aa52b,心理问题,3996225e-acfa-5c2b-b8f2-169eebad202a,症状,临床症状,0.8
07ed67cc-b442-59bb-a798-23bbf13aa52b,心理问题,57de6368-64a4-57fd-a083-73948db79a5e,症状,临床症状,0.8
07ed67cc-b442-59bb-a798-23bbf13aa52b,心理问题,a9a1acdd-cc14-5b95-9907-395ef5d097d4,症状,临床症状,0.8
07ed67cc-b442-59bb-a798-23bbf13aa52b,心理问题,2b13f8cd-54e9-56c3-a393-bc947f617ab3,症状,临床症状,0.8
07ed67cc-b442-59bb-a798-23bbf13aa52b,心理问题,3ecd66a8-d0bf-5849-8ab3-d6425e6293a4,症状,临床症状,0.8
